Re.sort.ID	ERCC.ID	subgroup	concentration.in.Mix.1..attomoles.ul.	copy.number.for.10.pg.total.RNA	mollog	Length
4	ERCC-00108	A	937.5	112.9151492	2.05658148331064	1022
39	ERCC-00109	B	0.91552734	0.1102687	0.0454280966292475	536
50	ERCC-00111	C	468.75	56.45757459	1.75934728952208	994
75	ERCC-00112	D	117.1875	14.11439365	1.17939072910291	1136
48	ERCC-00113	C	3750	451.6605968	2.65577269167414	840
5	ERCC-00116	A	468.75	56.45757459	1.75934728952208	1991
45	ERCC-00117	B	0.05722046	0.006891794	0.00298280144369455	1136
62	ERCC-00120	C	0.91552734	0.1102687	0.0454280966292475	536
21	ERCC-00123	A	0.22888184	0.027567176	0.011810222969014	1022
34	ERCC-00126	B	14.6484375	1.764299206	0.441585049006791	1118
1	ERCC-00130	A	30000	3613.284774	3.55802236817632	1059
8	ERCC-00131	A	117.1875	14.11439365	1.17939072910291	771
17	ERCC-00134	A	1.83105469	0.220537401	0.0865510920686903	274
3	ERCC-00136	A	1875	225.8302984	2.35570106410573	1033
85	ERCC-00137	D	0.91552734	0.1102687	0.0454280966292475	537
44	ERCC-00138	B	0.11444092	0.013783588	0.00594525621197271	1024
43	ERCC-00142	B	0.22888184	0.027567176	0.011810222969014	493
59	ERCC-00143	C	3.66210938	0.441074802	0.158686524362006	784
11	ERCC-00144	A	29.296875	3.528598412	0.655963809933291	538
49	ERCC-00145	C	937.5	112.9151492	2.05658148331064	1042
18	ERCC-00147	A	0.91552734	0.1102687	0.0454280966292475	1023
33	ERCC-00148	B	14.6484375	1.764299206	0.441585049006791	494
36	ERCC-00150	B	3.66210938	0.441074802	0.158686524362006	743
13	ERCC-00154	A	7.32421875	0.882149603	0.274654140438295	537
20	ERCC-00156	A	0.45776367	0.05513435	0.0233077617652772	494
58	ERCC-00157	C	7.32421875	0.882149603	0.274654140438295	1019
41	ERCC-00158	B	0.45776367	0.05513435	0.0233077617652772	1027
81	ERCC-00160	D	7.32421875	0.882149603	0.274654140438295	743
53	ERCC-00162	C	58.59375	7.057196824	0.906183972869944	523
79	ERCC-00163	D	14.6484375	1.764299206	0.441585049006791	543
64	ERCC-00164	C	0.45776367	0.05513435	0.0233077617652772	1022
76	ERCC-00165	D	58.59375	7.057196824	0.906183972869944	872
87	ERCC-00168	D	0.45776367	0.05513435	0.0233077617652772	1024
12	ERCC-00170	A	14.6484375	1.764299206	0.441585049006791	1023
25	ERCC-00171	B	3750	451.6605968	2.65577269167414	505
